Symbol,Name,Sector,Industry
JYNT,The Joint Corp.,Miscellaneous,Multi-Sector Companies
PCLN,The Priceline Group Inc. ,Miscellaneous,Business Services
NCTY,The9 Limited,Miscellaneous,Business Services
TIVO,TiVo Corporation,Miscellaneous,Multi-Sector Companies
TSS,"Total System Services, Inc.",Miscellaneous,Business Services
TNET,"TriNet Group, Inc.",Miscellaneous,Business Services
ULBI,Ultralife Corporation,Miscellaneous,Industrial Machinery/Components
USAT,"USA Technologies, Inc.",Miscellaneous,Office Equipment/Supplies/Services
USATP,"USA Technologies, Inc.",Miscellaneous,Office Equipment/Supplies/Services
VNTV,"Vantiv, Inc.",Miscellaneous,Business Services
PAY,"Verifone Systems, Inc.",Miscellaneous,Office Equipment/Supplies/Services
VVI,Viad Corp,Miscellaneous,Business Services
VHC,VirnetX Holding Corp,Miscellaneous,Multi-Sector Companies
V,Visa Inc.,Miscellaneous,Business Services
WAGE,"WageWorks, Inc.",Miscellaneous,Business Services
WBMD,WebMD Health Corp,Miscellaneous,Business Services
WSTC,West Corporation,Miscellaneous,Business Services
WU,Western Union Company (The),Miscellaneous,Business Services
WEX,WEX Inc.,Miscellaneous,Business Services
WILN,Wi-LAN Inc,Miscellaneous,Multi-Sector Companies
WNS,WNS (Holdings) Limited,Miscellaneous,Business Services
XELB,"Xcel Brands, Inc",Miscellaneous,Multi-Sector Companies
XRX,Xerox Corporation,Miscellaneous,Business Services
Z,"Zillow Group, Inc.",Miscellaneous,Business Services
ZG,"Zillow Group, Inc.",Miscellaneous,Business Services
