Symbol,Name,Sector,Industry
BNFT,"Benefitfocus, Inc.",Technology,Computer Software: Prepackaged Software
BGSF,BG Staffing Inc,Technology,Professional Services
BITA,Bitauto Holdings Limited,Technology,EDP Services
BBOX,Black Box Corporation,Technology,Computer Communications Equipment
BKFS,"Black Knight Financial Services, Inc.",Technology,Computer Software: Prepackaged Software
BLKB,"Blackbaud, Inc.",Technology,Computer Software: Prepackaged Software
BDR,"Blonder Tongue Laboratories, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
BCOR,"Blucora, Inc.",Technology,EDP Services
EPAY,"Bottomline Technologies, Inc.",Technology,Computer Software: Prepackaged Software
BOX,"Box, Inc.",Technology,Computer Software: Prepackaged Software
BLIN          ,"Bridgeline Digital, Inc.",Technology,Computer Software: Prepackaged Software
BCOV,Brightcove Inc.,Technology,EDP Services
AVGO,Broadcom Limited,Technology,Semiconductors
BSFT,"BroadSoft, Inc.",Technology,Computer Software: Prepackaged Software
BVSN,"BroadVision, Inc.",Technology,Computer Software: Prepackaged Software
BRCD,"Brocade Communications Systems, Inc.",Technology,Computer Communications Equipment
BRKS,"Brooks Automation, Inc.",Technology,Industrial Machinery/Components
CA,CA Inc.,Technology,Computer Software: Prepackaged Software
CCMP,Cabot Microelectronics Corporation,Technology,Semiconductors
CACI,"CACI International, Inc.",Technology,EDP Services
CDNS,"Cadence Design Systems, Inc.",Technology,Computer Software: Prepackaged Software
CAI,"CAI International, Inc.",Technology,Diversified Commercial Services
CAMP,CalAmp Corp.,Technology,Radio And Television Broadcasting And Communications Equipment
CALD,"Callidus Software, Inc.",Technology,EDP Services
CSIQ,Canadian Solar Inc.,Technology,Semiconductors
CARB,"Carbonite, Inc.",Technology,EDP Services
CSLT,"Castlight Health, inc.",Technology,EDP Services
CAVM,"Cavium, Inc.",Technology,Semiconductors
CDI,CDI Corporation,Technology,Professional Services
CLS,"Celestica, Inc.",Technology,Electrical Products
CRNT,Ceragon Networks Ltd.,Technology,Radio And Television Broadcasting And Communications Equipment
CERN,Cerner Corporation,Technology,EDP Services
CEVA,"CEVA, Inc.",Technology,Semiconductors
CYOU,Changyou.com Limited,Technology,Computer Software: Prepackaged Software
ECOM          ,ChannelAdvisor Corporation,Technology,Computer Software: Prepackaged Software
CHKP,Check Point Software Technologies Ltd.,Technology,Computer Software: Prepackaged Software
CMCM,Cheetah Mobile Inc.,Technology,Computer Software: Prepackaged Software
CVR,Chicago Rivet & Machine Co.,Technology,Industrial Machinery/Components
STV,"China Digital TV Holding Co., Ltd.",Technology,Computer Software: Prepackaged Software
CNIT,"China Information Technology, Inc.",Technology,Computer Software: Prepackaged Software
CCIH,ChinaCache International Holdings Ltd.,Technology,EDP Services
CNET,"ChinaNet Online Holdings, Inc.",Technology,"Computer Software: Programming, Data Processing"
IMOS,ChipMOS TECHNOLOGIES INC.,Technology,Semiconductors
CBR,"Ciber, Inc.",Technology,EDP Services
CRUS,"Cirrus Logic, Inc.",Technology,Semiconductors
CSCO,"Cisco Systems, Inc.",Technology,Computer Communications Equipment
CTXS,"Citrix Systems, Inc.",Technology,Computer Software: Prepackaged Software
CLNT,"Cleantech Solutions International, Inc.",Technology,Industrial Machinery/Components
CTSH,Cognizant Technology Solutions Corporation,Technology,EDP Services
CHUBA,"CommerceHub, Inc.",Technology,Computer Software: Prepackaged Software
CHUBK,"CommerceHub, Inc.",Technology,Computer Software: Prepackaged Software
COMM,"CommScope Holding Company, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
CVLT,"CommVault Systems, Inc.",Technology,Computer Software: Prepackaged Software
CPSI,"Computer Programs and Systems, Inc.",Technology,EDP Services
CSC,Computer Sciences Corporation,Technology,EDP Services
CTG,"Computer Task Group, Incorporated",Technology,EDP Services
CMTL,Comtech Telecommunications Corp.,Technology,Radio And Television Broadcasting And Communications Equipment
CCUR,Concurrent Computer Corporation,Technology,Computer Manufacturing
CNXR,"Connecture, Inc.",Technology,Computer Software: Prepackaged Software
CVG,Convergys Corporation,Technology,EDP Services
COYN,"COPsync, Inc.",Technology,Computer Communications Equipment
COYNW,"COPsync, Inc.",Technology,Computer Communications Equipment
CLGX,"CoreLogic, Inc.",Technology,EDP Services
CSOD,"Cornerstone OnDemand, Inc.",Technology,Computer Software: Prepackaged Software
CPAH,CounterPath Corporation,Technology,Computer Software: Prepackaged Software
COUP,Coupa Software Incorporated,Technology,Computer Software: Prepackaged Software
COVS,Covisint Corporation,Technology,EDP Services
CRAY,Cray Inc,Technology,Computer Manufacturing
CREE,"Cree, Inc.",Technology,Semiconductors
CRTO,Criteo S.A.,Technology,Advertising
CCRN,"Cross Country Healthcare, Inc.",Technology,Professional Services
CRDS,"Crossroads Systems, Inc.",Technology,Computer peripheral equipment
CSGS,"CSG Systems International, Inc.",Technology,EDP Services
CSPI,CSP Inc.,Technology,EDP Services
CSRA,CSRA Inc.,Technology,EDP Services
CTS,CTS Corporation,Technology,Electrical Products
CW,Curtiss-Wright Corporation,Technology,Industrial Machinery/Components
CVV,CVD Equipment Corporation,Technology,Industrial Machinery/Components
CVT,"CVENT, INC.",Technology,Computer Software: Prepackaged Software
CYBR,CyberArk Software Ltd.,Technology,Computer Software: Prepackaged Software
CY,Cypress Semiconductor Corporation,Technology,Semiconductors
CYRN,CYREN Ltd.,Technology,Computer Software: Prepackaged Software
DQ,DAQO New Energy Corp.,Technology,Semiconductors
DTLK,Datalink Corporation,Technology,EDP Services
DRAM,Dataram Corporation,Technology,Electronic Components
DWCH,Datawatch Corporation,Technology,Computer Software: Prepackaged Software
DVMT,Dell Technologies Inc.,Technology,Computer Manufacturing
DTRM,"Determine, Inc. ",Technology,Computer Software: Prepackaged Software
DGII,Digi International Inc.,Technology,Computer Communications Equipment
DMRC,Digimarc Corporation,Technology,EDP Services
DGLY,"Digital Ally, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
DIOD,Diodes Incorporated,Technology,Semiconductors
DLHC,DLH Holdings Corp.,Technology,Professional Services
DOV,Dover Corporation,Technology,Industrial Machinery/Components
DSPG,"DSP Group, Inc.",Technology,Semiconductors
DST,"DST Systems, Inc.",Technology,EDP Services
ELNK,EarthLink Holdings Corp.,Technology,"Computer Software: Programming, Data Processing"
ETN,"Eaton Corporation, PLC",Technology,Industrial Machinery/Components
EBIX,"Ebix, Inc.",Technology,EDP Services
ELON,Echelon Corporation,Technology,Computer Communications Equipment
SATS,EchoStar Corporation,Technology,Radio And Television Broadcasting And Communications Equipment
EDGW,"Edgewater Technology, Inc.",Technology,"Computer Software: Programming, Data Processing"
EFUT,eFuture Holding Inc.,Technology,EDP Services
EGAN,eGain Corporation,Technology,Computer Software: Prepackaged Software
EA,Electronic Arts Inc.,Technology,Computer Software: Prepackaged Software
EFII,"Electronics for Imaging, Inc.",Technology,Computer Communications Equipment
ELLI,"Ellie Mae, Inc.",Technology,Computer Software: Prepackaged Software
ELTK,Eltek Ltd.,Technology,Electrical Products
EMAN,eMagin Corporation,Technology,Semiconductors
EMKR,EMCORE Corporation,Technology,Semiconductors
EIGI,"Endurance International Group Holdings, Inc.",Technology,Computer Software: Prepackaged Software
WATT,Energous Corporation,Technology,Radio And Television Broadcasting And Communications Equipment
ERII,"Energy Recovery, Inc.",Technology,Industrial Machinery/Components
ENOC,"EnerNOC, Inc.",Technology,"Computer Software: Programming, Data Processing"
ENPH,"Enphase Energy, Inc.",Technology,Semiconductors
EPAM,"EPAM Systems, Inc.",Technology,EDP Services
PLUS,ePlus inc.,Technology,Retail: Computer Software & Peripheral Equipment
ERIC,Ericsson,Technology,Radio And Television Broadcasting And Communications Equipment
MRAM,"Everspin Technologies, Inc.",Technology,Semiconductors
EVTC,"Evertec, Inc.",Technology,EDP Services
EVDY,"Everyday Health, Inc.",Technology,EDP Services
EVOL,"Evolving Systems, Inc.",Technology,EDP Services
EXA,Exa Corporation,Technology,Computer Software: Prepackaged Software
EXAR,Exar Corporation,Technology,Semiconductors
EXTN,Exterran Corporation,Technology,Diversified Commercial Services
EXTR,"Extreme Networks, Inc.",Technology,Computer Communications Equipment
FFIV,"F5 Networks, Inc.",Technology,Computer Communications Equipment
FB,"Facebook, Inc.",Technology,"Computer Software: Programming, Data Processing"
FDS,FactSet Research Systems Inc.,Technology,"Computer Software: Programming, Data Processing"
FALC,"FalconStor Software, Inc.",Technology,Computer Software: Prepackaged Software
SFUN,Fanf Holdings Limited,Technology,EDP Services
FNSR,Finisar Corporation,Technology,Semiconductors
FEYE,"FireEye, Inc.",Technology,Computer peripheral equipment
FSLR,"First Solar, Inc.",Technology,Semiconductors
FISV,"Fiserv, Inc.",Technology,EDP Services
FIT,"Fitbit, Inc.",Technology,Computer Manufacturing
FIVN,"Five9, Inc.",Technology,EDP Services
FLEX,Flex Ltd.,Technology,Electrical Products
FORM,"FormFactor, Inc.",Technology,Semiconductors
FORTY,Formula Systems (1985) Ltd.,Technology,EDP Services
FTNT,"Fortinet, Inc.",Technology,Computer peripheral equipment
FNCX,Function(x) Inc.,Technology,"Computer Software: Programming, Data Processing"
FSNN,"Fusion Telecommunications International, Inc.",Technology,Computer Software: Prepackaged Software
GDS,GDS Holdings Limited,Technology,"Computer Software: Programming, Data Processing"
JOB,GEE Group Inc.,Technology,Diversified Commercial Services
GFN,General Finance Corporation,Technology,Diversified Commercial Services
GFNCP,General Finance Corporation,Technology,Diversified Commercial Services
GFNSL,General Finance Corporation,Technology,Diversified Commercial Services
GIGM,GigaMedia Limited,Technology,"Computer Software: Programming, Data Processing"
GIMO,Gigamon Inc.,Technology,EDP Services
GIG,"GigPeak, Inc.",Technology,Semiconductors
GILT,Gilat Satellite Networks Ltd.,Technology,Radio And Television Broadcasting And Communications Equipment
GSB,"GlobalSCAPE, Inc.",Technology,Computer Software: Prepackaged Software
GLOB,Globant S.A.,Technology,EDP Services
GLUU,Glu Mobile Inc.,Technology,EDP Services
GDDY,GoDaddy Inc.,Technology,EDP Services
GHM,Graham Corporation,Technology,Industrial Machinery/Components
GEC,"Great Elm Capital Group, Inc. ",Technology,Computer Software: Prepackaged Software
GSUM,Gridsum Holding Inc.,Technology,Computer Software: Prepackaged Software
GRPN,"Groupon, Inc.",Technology,Advertising
GVP,"GSE Systems, Inc.",Technology,Computer Software: Prepackaged Software
GSIT,"GSI Technology, Inc.",Technology,Semiconductors
GUID,"Guidance Software, Inc.",Technology,Computer Software: Prepackaged Software
GWRE,"Guidewire Software, Inc.",Technology,Computer Software: Prepackaged Software
HQCL,"Hanwha Q CELLS Co., Ltd. ",Technology,Semiconductors
HLIT,Harmonic Inc.,Technology,Radio And Television Broadcasting And Communications Equipment
HHS,"Harte-Hanks, Inc.",Technology,Advertising
HSTM,"HealthStream, Inc.",Technology,"Computer Software: Programming, Data Processing"
HSII,"Heidrick & Struggles International, Inc.",Technology,Diversified Commercial Services
HPE,Hewlett Packard Enterprise Company,Technology,Computer Manufacturing
HIMX,"Himax Technologies, Inc.",Technology,Semiconductors
HDP,"Hortonworks, Inc.",Technology,Computer Software: Prepackaged Software
HPQ,HP Inc.,Technology,Computer Manufacturing
HUBS,"HubSpot, Inc.",Technology,Computer Software: Prepackaged Software
HSON,"Hudson Global, Inc.",Technology,Professional Services
HDRA,Hydra Industries Acquisition Corp.,Technology,Computer Software: Prepackaged Software
HDRAR,Hydra Industries Acquisition Corp.,Technology,Computer Software: Prepackaged Software
HDRAU,Hydra Industries Acquisition Corp.,Technology,Computer Software: Prepackaged Software
HDRAW,Hydra Industries Acquisition Corp.,Technology,Computer Software: Prepackaged Software
INVE,"Identiv, Inc.",Technology,Computer peripheral equipment
IEC,IEC Electronics Corp.,Technology,Electrical Products
INFO,IHS Markit Ltd.,Technology,"Computer Software: Programming, Data Processing"
ITW,Illinois Tool Works Inc.,Technology,Industrial Machinery/Components
IMN,Imation Corporation,Technology,Electronic Components
IMMR,Immersion Corporation,Technology,Computer peripheral equipment
IMPV,"Imperva, Inc.",Technology,Computer Software: Prepackaged Software
INFY,Infosys Limited,Technology,EDP Services
IM,Ingram Micro Inc.,Technology,Retail: Computer Software & Peripheral Equipment
INOD,Innodata Inc.,Technology,EDP Services
ISSC,"Innovative Solutions and Support, Inc.",Technology,EDP Services
INOV,"Inovalon Holdings, Inc.",Technology,EDP Services
IPHI,Inphi Corporation,Technology,Semiconductors
NSP,"Insperity, Inc.",Technology,Professional Services
INST,"Instructure, Inc.",Technology,Computer Software: Prepackaged Software
IDTI,"Integrated Device Technology, Inc.",Technology,Semiconductors
INTC,Intel Corporation,Technology,Semiconductors
IDN,"Intellicheck Mobilisa, Inc.",Technology,Computer Software: Prepackaged Software
INS,Intelligent Systems Corporation,Technology,Computer Software: Prepackaged Software
ININ,"Interactive Intelligence Group, Inc.",Technology,Computer Software: Prepackaged Software
LINK,"Interlink Electronics, Inc.",Technology,Computer peripheral equipment
IMI,"Intermolecular, Inc.",Technology,Semiconductors
INAP,Internap Corporation,Technology,"Computer Software: Programming, Data Processing"
IBM,International Business Machines Corporation,Technology,Computer Manufacturing
IIJI,"Internet Initiative Japan, Inc.",Technology,"Computer Software: Programming, Data Processing"
IPG,"Interpublic Group of Companies, Inc. (The)",Technology,Advertising
INTX,"Intersections, Inc.",Technology,EDP Services
ISIL,Intersil Corporation,Technology,Semiconductors
INXN,InterXion Holding N.V.,Technology,"Computer Software: Programming, Data Processing"
IVAC,"Intevac, Inc.",Technology,Industrial Machinery/Components
IL,"IntraLinks Holdings, Inc.",Technology,Computer Software: Prepackaged Software
INTU,Intuit Inc.,Technology,Computer Software: Prepackaged Software
INVN,"InvenSense, Inc.",Technology,Semiconductors
IPAS,iPass Inc.,Technology,EDP Services
IPGP,IPG Photonics Corporation,Technology,Semiconductors
IXYS,IXYS Corporation,Technology,Semiconductors
JCOM,"j2 Global, Inc.",Technology,Telecommunications Equipment
JASO,"JA Solar Holdings, Co., Ltd.",Technology,Semiconductors
JBL,"Jabil Circuit, Inc.",Technology,Electrical Products
JKHY,"Jack Henry & Associates, Inc.",Technology,EDP Services
JKS,JinkoSolar Holding Company Limited,Technology,Semiconductors
JIVE,"Jive Software, Inc.",Technology,EDP Services
JBT,John Bean Technologies Corporation,Technology,Industrial Machinery/Components
JNPR,"Juniper Networks, Inc.",Technology,Computer Communications Equipment
KAI,Kadant Inc,Technology,Industrial Machinery/Components
KELYA,"Kelly Services, Inc.",Technology,Professional Services
KELYB,"Kelly Services, Inc.",Technology,Professional Services
KTEC,"Key Technology, Inc.",Technology,Industrial Machinery/Components
KTCC,Key Tronic Corporation,Technology,Computer peripheral equipment
KFRC,"Kforce, Inc.",Technology,Professional Services
KE,"Kimball Electronics, Inc.",Technology,Electrical Products
KONE,Kingtone Wirelessinfo Solution Holding Ltd,Technology,EDP Services
KZ,KongZhong Corporation,Technology,Telecommunications Equipment
KOPN,Kopin Corporation,Technology,Semiconductors
KFY,Korn/Ferry International,Technology,Diversified Commercial Services
KLIC,"Kulicke and Soffa Industries, Inc.",Technology,Semiconductors
KVHI,"KVH Industries, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
KYO,Kyocera Corporation,Technology,Semiconductors
LLL,"L-3 Communications Holdings, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
LRCX,Lam Research Corporation,Technology,Industrial Machinery/Components
LTRX,"Lantronix, Inc.",Technology,Computer Communications Equipment
LSCC,Lattice Semiconductor Corporation,Technology,Semiconductors
LFGR,Leaf Group Ltd.,Technology,EDP Services
LDOS,"Leidos Holdings, Inc.",Technology,EDP Services
LXK,"Lexmark International, Inc.",Technology,Computer Manufacturing
LTRPA,"Liberty TripAdvisor Holdings, Inc.",Technology,EDP Services
LTRPB,"Liberty TripAdvisor Holdings, Inc.",Technology,EDP Services
LOCK,"LifeLock, Inc.",Technology,EDP Services
LPTH,"LightPath Technologies, Inc.",Technology,Semiconductors
LECO,"Lincoln Electric Holdings, Inc.",Technology,Industrial Machinery/Components
LN,LINE Corporation,Technology,"Computer Software: Programming, Data Processing"
LLTC,Linear Technology Corporation,Technology,Semiconductors
LNKD,LinkedIn Corporation,Technology,"Computer Software: Programming, Data Processing"
LIQT,"LiqTech International, Inc.",Technology,Industrial Machinery/Components
LIVE,Live Ventures Incorporated,Technology,EDP Services
LPSN,"LivePerson, Inc.",Technology,Computer Software: Prepackaged Software
LOGI,Logitech International S.A.,Technology,Computer peripheral equipment
LOGM,"LogMein, Inc.",Technology,Computer Software: Prepackaged Software
LORL,"Loral Space and Communications, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
LXFT,"Luxoft Holding, Inc.",Technology,EDP Services
MTSI,"MACOM Technology Solutions Holdings, Inc.",Technology,Semiconductors
MGIC,Magic Software Enterprises Ltd.,Technology,Computer Software: Prepackaged Software
MX,MagnaChip Semiconductor Corporation,Technology,Semiconductors
MNGA,MagneGas Corporation,Technology,Industrial Machinery/Components
MJCO,Majesco,Technology,Computer Software: Prepackaged Software
COOL,Majesco Entertainment Company,Technology,Computer Software: Prepackaged Software
MAMS,"MAM Software Group, Inc.",Technology,Computer Software: Prepackaged Software
MANH,"Manhattan Associates, Inc.",Technology,Computer Software: Prepackaged Software
MNTX,"Manitex International, Inc.",Technology,Industrial Machinery/Components
MFS,"Manitowoc Food Service, Inc.",Technology,Industrial Machinery/Components
MAN,ManpowerGroup,Technology,Professional Services
MRIN,Marin Software Incorporated,Technology,EDP Services
MRVL,Marvell Technology Group Ltd.,Technology,Semiconductors
MTCH,"Match Group, Inc.",Technology,"Computer Software: Programming, Data Processing"
MTLS,Materialise NV,Technology,Computer Software: Prepackaged Software
MATR,Mattersight Corporation,Technology,EDP Services
MXIM,"Maxim Integrated Products, Inc.",Technology,Semiconductors
MXL,"MaxLinear, Inc",Technology,Semiconductors
MGRC,McGrath RentCorp,Technology,Diversified Commercial Services
MDCA,MDC Partners Inc.,Technology,Advertising
MTBC,"Medical Transcription Billing, Corp.",Technology,Computer Software: Prepackaged Software
MTBCP,"Medical Transcription Billing, Corp.",Technology,Computer Software: Prepackaged Software
MDSO,"Medidata Solutions, Inc.",Technology,Computer Software: Prepackaged Software
MLNX,"Mellanox Technologies, Ltd.",Technology,Semiconductors
MENT,Mentor Graphics Corporation,Technology,EDP Services
MCHP,Microchip Technology Incorporated,Technology,Semiconductors
MU,"Micron Technology, Inc.",Technology,Semiconductors
MSCC,Microsemi Corporation,Technology,Semiconductors
MSFT,Microsoft Corporation,Technology,Computer Software: Prepackaged Software
MSTR,MicroStrategy Incorporated,Technology,Computer Software: Prepackaged Software
MCRN,Milacron Holdings Corp.,Technology,Industrial Machinery/Components
MIME,Mimecast Limited,Technology,Computer Software: Prepackaged Software
MNDO,MIND C.T.I. Ltd.,Technology,EDP Services
MB,"MINDBODY, Inc.",Technology,EDP Services
MIND,"Mitcham Industries, Inc.",Technology,Diversified Commercial Services
MINDP,"Mitcham Industries, Inc.",Technology,Diversified Commercial Services
MITK,"Mitek Systems, Inc.",Technology,Computer peripheral equipment
MITL,Mitel Networks Corporation,Technology,Radio And Television Broadcasting And Communications Equipment
MIXT,MiX Telematics Limited,Technology,Computer Software: Prepackaged Software
MOBL,"MobileIron, Inc.",Technology,Computer Software: Prepackaged Software
MBLY,Mobileye N.V.,Technology,Computer Software: Prepackaged Software
MODN,"Model N, Inc.",Technology,"Computer Software: Programming, Data Processing"
MDSY,ModSys International Ltd.,Technology,EDP Services
MOMO,Momo Inc.,Technology,Computer Software: Prepackaged Software
MPWR,"Monolithic Power Systems, Inc.",Technology,Semiconductors
TYPE,Monotype Imaging Holdings Inc.,Technology,EDP Services
MSDI,"Monster Digital, Inc.",Technology,Electronic Components
MSDIW,"Monster Digital, Inc.",Technology,Electronic Components
MOSY,"MoSys, Inc.",Technology,Semiconductors
MSI,"Motorola Solutions, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
MRVC,"MRV Communications, Inc.",Technology,Semiconductors
MYSZ,"My Size, Inc.",Technology,Computer Software: Prepackaged Software
NNDM,Nano Dimension Ltd.,Technology,Electrical Products
NH,"NantHealth, Inc.",Technology,EDP Services
NATI,National Instruments Corporation,Technology,Computer Software: Prepackaged Software
NCIT,"NCI, Inc.",Technology,EDP Services
NEFF,Neff Corporation,Technology,Diversified Commercial Services
NPTN,NeoPhotonics Corporation,Technology,Semiconductors
NETE,"Net Element, Inc.",Technology,EDP Services
NTAP,"NetApp, Inc.",Technology,Electronic Components
NLST,"Netlist, Inc.",Technology,Semiconductors
NTCT,"NetScout Systems, Inc.",Technology,EDP Services
NTWK,NetSol Technologies Inc.,Technology,Computer Software: Prepackaged Software
NTIP,"Network-1 Technologies, Inc.",Technology,Computer Software: Prepackaged Software
NEWR,"New Relic, Inc.",Technology,Computer Software: Prepackaged Software
NICE,NICE Ltd,Technology,Computer Manufacturing
NMBL,"Nimble Storage, Inc.",Technology,Electronic Components
NOK,Nokia Corporation,Technology,Radio And Television Broadcasting And Communications Equipment
NQ,NQ Mobile Inc.,Technology,Computer Software: Prepackaged Software
DCM,"NTT DOCOMO, Inc",Technology,Radio And Television Broadcasting And Communications Equipment
NUAN,"Nuance Communications, Inc.",Technology,Computer Software: Prepackaged Software
NTNX,"Nutanix, Inc.",Technology,Computer Software: Prepackaged Software
NVEC,NVE Corporation,Technology,Semiconductors
NVDA,NVIDIA Corporation,Technology,Semiconductors
NXPI,NXP Semiconductors N.V.,Technology,Semiconductors
OIIM,O2Micro International Limited,Technology,Semiconductors
OCLR,"Oclaro, Inc.",Technology,Semiconductors
OMCL,"Omnicell, Inc.",Technology,Computer Manufacturing
OMC,Omnicom Group Inc.,Technology,Advertising
ASGN,"On Assignment, Inc.",Technology,Professional Services
ON,ON Semiconductor Corporation,Technology,Semiconductors
OTIV,On Track Innovations Ltd,Technology,Semiconductors
OOMA,"Ooma, Inc.",Technology,EDP Services
OTEX,Open Text Corporation,Technology,EDP Services
ORCL,Oracle Corporation,Technology,Computer Software: Prepackaged Software
OSIS,"OSI Systems, Inc.",Technology,Semiconductors
PFIN,"P & F Industries, Inc.",Technology,Industrial Machinery/Components
PANW,"Palo Alto Networks, Inc.",Technology,Computer peripheral equipment
TEUM,Pareteum Corporation,Technology,EDP Services
PCYG,"Park City Group, Inc.",Technology,EDP Services
PKE,Park Electrochemical Corporation,Technology,Electrical Products
PRKR,"ParkerVision, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
PAYC,"Paycom Software, Inc.",Technology,Computer Software: Prepackaged Software
PCTY,Paylocity Holding Corporation,Technology,Computer Software: Prepackaged Software
PCTI,"PC-Tel, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
PDFS,"PDF Solutions, Inc.",Technology,EDP Services
PEGA,Pegasystems Inc.,Technology,EDP Services
PNR,Pentair plc.,Technology,Industrial Machinery/Components
